"","channel_name","total_conversions"
"166","affiliate#prospecting",1.22001443487268
"167","prospecting#display-media",1.65921963142684
"168","display-media#prospecting",2.83043348890461
"169","prospecting#organic",2.098424827981
"170","domains#social-media",2.19602598277082
"171","social-media#domains",2.48882944714026
"172","organic#shopping-search",1.80562136361156
"173","shopping-search#affiliate",0.780809238318512
"174","affiliate#shopping-search",0.634407506133791
"175","shopping-search#pla",2.97683522108933
"176","other",0.536806351343977
"177","social-media#other",0.683208083528698
"178","not-classified#branded-paid-search",1.80562136361156
"179","non-branded-paid-search#domains",6.44167621612773
"180","prospecting",0.244002886974535
"181","not-classified#non-branded-paid-search",1.31761558966249
"182","non-branded-paid-search#not-classified",1.90322251840137
"183","prospecting#branded-paid-search",0.585606928738884
"184","shopping-search",0.536806351343977
"185","display-media#shopping-search",1.07361270268795
"186","affiliate#other",2.48882944714026
"187","app#not-classified",0.48800577394907
"188","other#vendor-links",0.195202309579628
"189","branded-paid-search#shopping-search",0.439205196554163
"190","not-classified#display-media",3.70884388201293
"191","email#prospecting",0.195202309579628
"192","prospecting#affiliate",0.390404619159256
"193","non-branded-paid-search#app",0.195202309579628
"194","branded-paid-search#app",1.95202309579628
"195","organic#prospecting",1.3664161670574
"196","vendor-links#social-media",1.65921963142684
"197","not-classified#social-media",0.536806351343977
"198","domains#vendor-links",0.634407506133791
"199","vendor-links#not-classified",0.732008660923605
"200","pla#prospecting",0.48800577394907
"201","prospecting#pla",0.780809238318512
"202","social-media#vendor-links",1.22001443487268
"203","social-media#not-classified",0.732008660923605
"204","prospecting#email",0.390404619159256
"205","app#non-branded-paid-search",0.48800577394907
"206","shopping-search#social-media",0.634407506133791
"207","prospecting#direct",0.585606928738884
"208","domain#pla",0.829609815713419
"209","pla#domain",1.17121385747777
"210","domain#organic",0.195202309579628
"211","organic#domain",0.097601154789814
"212","email#domain",0.536806351343977
"213","domain#affiliate",0.48800577394907
"214","prospecting#non-branded-paid-search",0.146401732184721
"215","social-media#shopping-search",0.341604041764349
"216","organic#video",0.244002886974535
"217","video#pla",0.244002886974535
"218","domains#app",0.244002886974535
"219","not-classified#app",0.146401732184721
"220","not-classified#vendor-links",0.146401732184721
"221","affiliate#general-referring-domains",0.439205196554163
"222","general-referring-domains#pla",0.195202309579628
"223","general-referring-domains#organic",0
"224","general-referring-domains#direct",0
"225","pla#odat-ads",0.048800577394907
"226","odat-ads#email",0.195202309579628
"227","affiliate#odat-ads",0.439205196554163
"228","odat-ads#display-media",0.146401732184721
"229","odat-ads#pla",0.244002886974535
"230","organic#odat-ads",0
"231","app#prospecting",0.146401732184721
"232","odat-ads#affiliate",0.048800577394907
"233","other#non-branded-paid-search",0
"234","branded-paid-search#other",0.244002886974535
